"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
JM_Aulas,"ID 921432115849388033","Fri Oct 20 17:45:10 +0000 2017","RT @SportInsideMag: On a eu la chance de visiter en VIP le nouveau stade de l’OL : le Groupama Stadium ! 😃    ➡️https://t.co/VmbQtW6dGh htt…",https://twitter.com/JM_Aulas/statuses/921432115849388033,31,0,"Twitter for iPad" 
JM_Aulas,"ID 921409954069864449","Fri Oct 20 16:17:06 +0000 2017","@YourZone @ValentinVella2 Comment peut on être crédible en utilisant ses techniques d désinformation aussi primaire financées BeIN Sports : jma c 41 titres en 20 ans!",https://twitter.com/JM_Aulas/statuses/921409954069864449,58,258,"Twitter for iPad" 
JM_Aulas,"ID 921324414699962369","Fri Oct 20 10:37:12 +0000 2017","@OL @Le_Progres @lequipe Belle performance d Européens OL,OM,PSG pour l'indice.Au classement d matchs 1er OL245 2ème OM213, 3eme PSG 211👌👋",https://twitter.com/JM_Aulas/statuses/921324414699962369,87,405,"Twitter for iPhone" 
JM_Aulas,"ID 921123918198558721","Thu Oct 19 21:20:30 +0000 2017","@OL @le progrès @lequipe Je suis fier de mon équipe cet OL que nous avons bien fait de soutenir merci à Bruno Nabil et tous ces supporters👍🎁",https://twitter.com/JM_Aulas/statuses/921123918198558721,206,806,"Twitter for iPhone" 
JM_Aulas,"ID 921122966657740800","Thu Oct 19 21:16:43 +0000 2017","@OL @W9 @M6 formidable victoire de notre OL qui vient battre sur son terrain 1 Everton surpuissant et agressif:bravo à Bruno , Nabil et l'OL",https://twitter.com/JM_Aulas/statuses/921122966657740800,458,1551,"Twitter for iPhone" 
JM_Aulas,"ID 921025906021490688","Thu Oct 19 14:51:02 +0000 2017","@patrickchene @patrickchene sur internet c'est possible sinon sur IPhone Sat car BeIn",https://twitter.com/JM_Aulas/statuses/921025906021490688,1,21,"Twitter for iPhone" 
JM_Aulas,"ID 921023643345457152","Thu Oct 19 14:42:03 +0000 2017","RT @Jano_Resseguie: Les voyages forment la jeunesse ou rajeunissent les vieux 😂 Presque arrivé à #Liverpool via ✈️#Manchester et 2 🚊 À ce s…",https://twitter.com/JM_Aulas/statuses/921023643345457152,19,0,"Twitter for iPhone" 
JM_Aulas,"ID 921023065911373824","Thu Oct 19 14:39:45 +0000 2017","RT @InvestInLyon: #Lyon remporte ce titre grâce à ses multiples atouts tels que son économie robuste & diversifiée : https://t.co/6bntG0cQZ…",https://twitter.com/JM_Aulas/statuses/921023065911373824,114,0,"Twitter for iPhone" 
JM_Aulas,"ID 921022461088583680","Thu Oct 19 14:37:21 +0000 2017","RT @CegidGroup: [PartnerMeeting] @pierredianteill lance notre événement #fédérateur #Business #Stratégie #vision https://t.co/WvLiKBrBoS",https://twitter.com/JM_Aulas/statuses/921022461088583680,4,0,"Twitter for iPhone" 
JM_Aulas,"ID 921021395051732992","Thu Oct 19 14:33:06 +0000 2017","@Kevinheredia69 @HandiSupOL Welcome in Everton : vous êtes fan et très courageux : Congretulation",https://twitter.com/JM_Aulas/statuses/921021395051732992,23,190,"Twitter for iPhone" 
JM_Aulas,"ID 921021185227411456","Thu Oct 19 14:32:16 +0000 2017","RT @Kevinheredia69: Arrivé au stade 😅😅😅 apres près de 18h de trajet #evertonOL TeamOL @HandiSupOL https://t.co/s3AuJ1l3h4",https://twitter.com/JM_Aulas/statuses/921021185227411456,42,0,"Twitter for iPhone" 
JM_Aulas,"ID 921020695257210880","Thu Oct 19 14:30:20 +0000 2017","OL : l'Olympique lyonnais troisième club préféré des Français | Olympique & Lyonnais #OLmonclubdecoeur https://t.co/J6ZMzjnG4l",https://twitter.com/JM_Aulas/statuses/921020695257210880,138,633,"Twitter for iPhone" 
JM_Aulas,"ID 921020074705776640","Thu Oct 19 14:27:52 +0000 2017","RT @CegidGroup: [#PartnerMeeting] Nos partenaires nous font confiance ! La salle est comble, désormais place à la plénière ! #Stratégie #Bu…",https://twitter.com/JM_Aulas/statuses/921020074705776640,8,0,"Twitter for iPhone" 
JM_Aulas,"ID 920605025260523520","Wed Oct 18 10:58:36 +0000 2017","RT @ecom_news: #Lyon : @JM_Aulas a présenté les résultats du dernier exercice comptable de l' @OL ! Quels sont les chiffres clés ? https://…",https://twitter.com/JM_Aulas/statuses/920605025260523520,19,0,"Twitter for iPhone" 
JM_Aulas,"ID 920040958036672512","Mon Oct 16 21:37:12 +0000 2017","@OL @footmercato Pour Mariano  c Florian qui le découvre,Zizou et Karim qui confirment son talent,Florentino P qui aide, Vincent /Florian👌👍👋",https://twitter.com/JM_Aulas/statuses/920040958036672512,54,264,"Twitter for iPhone" 
JM_Aulas,"ID 920038353092972545","Mon Oct 16 21:26:51 +0000 2017","OL : Merci qui pour Mariano ? Merci Benzema balance Aulas https://t.co/EVn3DZsSSy via @share @OL Merci surtout à Florian M qui l'a déniché 👍",https://twitter.com/JM_Aulas/statuses/920038353092972545,40,187,"Twitter for iPhone" 
JM_Aulas,"ID 919954213932797952","Mon Oct 16 15:52:31 +0000 2017","OL : Le constat est « terrible » pour la défense gruyère de Lyon https://t.co/XasTm0hmq4 via @share @OL ce NICOLAS P est indécent et bête 👎",https://twitter.com/JM_Aulas/statuses/919954213932797952,31,141,"Twitter for iPhone" 
JM_Aulas,"ID 919939841315540992","Mon Oct 16 14:55:24 +0000 2017","https://t.co/Q8neeQoxVi contrairement à ce que dit l'article OL a facilité l'arrivée d Max à R ave l relations amicales Umberto Gandini /jma",https://twitter.com/JM_Aulas/statuses/919939841315540992,11,53,"Twitter for iPhone" 
JM_Aulas,"ID 919928849609129984","Mon Oct 16 14:11:43 +0000 2017","@OL @HyundaiFrance @Jeonbuk_hyundai formidable collaboration avec Hyundai/OL/et la Corée de jeonbuck /Hyundai/OL👍⚽️️ https://t.co/gN6mrbTyVO",https://twitter.com/JM_Aulas/statuses/919928849609129984,11,34,"Twitter for iPhone" 
JM_Aulas,"ID 919916952532979713","Mon Oct 16 13:24:27 +0000 2017","RT @willy_pasche: Cadeau pour @dommal38 😊 https://t.co/RDKWCDZs8c",https://twitter.com/JM_Aulas/statuses/919916952532979713,3,0,"Twitter for iPhone" 
JM_Aulas,"ID 919874426895831040","Mon Oct 16 10:35:28 +0000 2017","@OL À tous les spécialistes du ballon rond qui ne respectent pas toujourS les entraîneurs français #mediocreriolo https://t.co/LxMx7VyquN",https://twitter.com/JM_Aulas/statuses/919874426895831040,205,432,"Twitter for iPhone" 
